,query_id,query,before_retrieved_sources,retrieved_sources_before,hit_at_k_before,recall@k_before,MRR@k_before,after_retrieved_sources,retrieved_sources_after,hit_at_k_after,recall@k_after,MRR@k_after,changed
0,q01,Что нужно сделать перед созданием PR?,9,"7, 9",1,1.0,0.5,9,"7, 9, 13",1,1.0,0.5,True
1,q02,Что такое merge conflict?,6,6,1,1.0,1.0,6,6,1,1.0,1.0,False
2,q03,Как переключиться между ветками?,2,"2, 5, 4",1,1.0,1.0,2,"2, 6, 4",1,1.0,1.0,True
3,q04,Сколько длится код-ревью?,7,"7, 2",1,1.0,1.0,7,"7, 2, 5",1,1.0,1.0,True
4,q05,Что такое pull request?,4,"4, 10, 5",1,1.0,1.0,4,"4, 10, 5",1,1.0,1.0,False
5,q06,Как отправить измененные данные в удаленный репозиторий?,11,"11, 12, 4",1,1.0,1.0,11,"11, 14, 13",1,1.0,1.0,True
6,q07,Чем отличается git pull от git fetch?,5,5,1,1.0,1.0,5,5,1,1.0,1.0,False
7,q08,Как удалить ветку?,3,"3, 2, 5",1,1.0,1.0,3,"3, 2, 5",1,1.0,1.0,False
8,q09,Как откатить последний коммит?,15,"7, 4, 10",0,0.0,0.0,15,15,1,1.0,1.0,True
9,q10,Как посмотреть статус репозитория?,13,"9, 4",0,0.0,0.0,13,"13, 15",1,1.0,1.0,True
